path,domain,class_name,split
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00022.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00013.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00018.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00009.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00070.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00004.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00046.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00025.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00014.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00059.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00041.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00030.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00026.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00036.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00065.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00068.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00047.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00007.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00012.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00044.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00049.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00002.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00033.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00029.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00040.jpg,Art,Alarm_Clock,train
/Users/manthannayak/Desktop/Projects/PRML_Project/Dataset/Art/Alarm_Clock/00021.jpg,Art,Alarm_Clock,train
